student_id,school_id,truthful_rank,payoff,submitted_rank,is_district
1,0,2,13,2,True
1,1,1,16,1,False
1,2,4,9,4,False
1,3,7,2,7,False
1,4,6,5,6,False
1,5,3,11,3,False
1,6,5,7,5,False
2,0,1,16,1,True
2,1,2,13,2,False
2,2,3,11,4,False
2,3,5,7,5,False
2,4,7,2,7,False
2,5,6,5,6,False
2,6,4,9,3,False
3,0,3,11,3,True
3,1,2,13,2,False
3,2,5,7,5,False
3,3,1,16,1,False
3,4,7,2,7,False
3,5,4,9,4,False
3,6,6,5,6,False
4,0,1,16,2,False
4,1,2,13,1,True
4,2,3,11,3,False
4,3,6,5,6,False
4,4,7,2,7,False
4,5,5,7,5,False
4,6,4,9,4,False
5,0,3,11,3,False
5,1,1,16,1,True
5,2,7,2,7,False
5,3,6,5,6,False
5,4,2,13,2,False
5,5,5,7,5,False
5,6,4,9,4,False
6,0,1,16,1,False
6,1,2,13,2,True
6,2,5,7,5,False
6,3,4,9,4,False
6,4,3,11,3,False
6,5,7,2,6,False
6,6,6,5,7,False
7,0,2,13,2,False
7,1,1,16,1,False
7,2,4,9,4,True
7,3,6,5,5,False
7,4,3,11,3,False
7,5,5,7,6,False
7,6,7,2,7,False
8,0,1,16,2,False
8,1,4,9,3,False
8,2,3,11,1,True
8,3,7,2,7,False
8,4,2,13,4,False
8,5,5,7,5,False
8,6,6,5,6,False
9,0,1,16,3,False
9,1,2,13,4,False
9,2,7,2,6,True
9,3,6,5,7,False
9,4,4,9,1,False
9,5,5,7,5,False
9,6,3,11,2,False
10,0,1,16,1,False
10,1,5,7,5,False
10,2,4,9,4,True
10,3,6,5,6,False
10,4,7,2,7,False
10,5,3,11,3,False
10,6,2,13,2,False
11,0,5,7,6,False
11,1,1,16,3,False
11,2,3,11,2,True
11,3,4,9,4,False
11,4,6,5,5,False
11,5,7,2,7,False
11,6,2,13,1,False
12,0,2,13,1,False
12,1,1,16,2,False
12,2,4,9,4,True
12,3,3,11,3,False
12,4,7,2,7,False
12,5,5,7,5,False
12,6,6,5,6,False
13,0,4,9,4,False
13,1,1,16,1,False
13,2,7,2,7,False
13,3,2,13,2,True
13,4,3,11,3,False
13,5,6,5,6,False
13,6,5,7,5,False
14,0,1,16,1,False
14,1,6,5,6,False
14,2,7,2,7,False
14,3,4,9,3,True
14,4,5,7,5,False
14,5,2,13,2,False
14,6,3,11,4,False
15,0,2,13,2,False
15,1,1,16,1,False
15,2,4,9,4,False
15,3,3,11,3,True
15,4,7,2,7,False
15,5,5,7,5,False
15,6,6,5,6,False
16,0,1,16,1,False
16,1,2,13,2,False
16,2,3,11,3,False
16,3,6,5,6,True
16,4,4,9,4,False
16,5,5,7,5,False
16,6,7,2,7,False
17,0,2,13,2,False
17,1,1,16,1,False
17,2,6,5,6,False
17,3,5,7,5,True
17,4,7,2,7,False
17,5,4,9,4,False
17,6,3,11,3,False
18,0,1,16,2,False
18,1,2,13,1,False
18,2,6,5,6,False
18,3,4,9,4,True
18,4,5,7,5,False
18,5,3,11,3,False
18,6,7,2,7,False
19,0,3,11,3,False
19,1,1,16,1,False
19,2,5,7,5,False
19,3,6,5,6,False
19,4,2,13,2,True
19,5,4,9,4,False
19,6,7,2,7,False
20,0,1,16,1,False
20,1,2,13,2,False
20,2,5,7,5,False
20,3,4,9,4,False
20,4,6,5,7,True
20,5,7,2,6,False
20,6,3,11,3,False
21,0,2,13,1,False
21,1,1,16,3,False
21,2,7,2,7,False
21,3,5,7,5,False
21,4,4,9,4,True
21,5,3,11,2,False
21,6,6,5,6,False
22,0,1,16,,False
22,1,3,11,,False
22,2,5,7,,False
22,3,7,2,,False
22,4,4,9,,True
22,5,6,5,,False
22,6,2,13,,False
23,0,1,16,,False
23,1,2,13,,False
23,2,5,7,,False
23,3,7,2,,False
23,4,6,5,,True
23,5,3,11,,False
23,6,4,9,,False
24,0,1,16,,False
24,1,2,13,,False
24,2,3,11,,False
24,3,6,5,,False
24,4,4,9,,True
24,5,7,2,,False
24,6,5,7,,False
25,0,2,13,,False
25,1,1,16,,False
25,2,7,2,,False
25,3,6,5,,False
25,4,3,11,,False
25,5,4,9,,True
25,6,5,7,,False
26,0,1,16,,False
26,1,2,13,,False
26,2,6,5,,False
26,3,4,9,,False
26,4,5,7,,False
26,5,7,2,,True
26,6,3,11,,False
27,0,5,7,,False
27,1,3,11,,False
27,2,6,5,,False
27,3,7,2,,False
27,4,2,13,,False
27,5,4,9,,True
27,6,1,16,,False
28,0,1,16,,False
28,1,2,13,,False
28,2,5,7,,False
28,3,7,2,,False
28,4,3,11,,False
28,5,6,5,,True
28,6,4,9,,False
29,0,5,7,,False
29,1,3,11,,False
29,2,1,16,,False
29,3,2,13,,False
29,4,7,2,,False
29,5,4,9,,True
29,6,6,5,,False
30,0,1,16,,False
30,1,4,9,,False
30,2,5,7,,False
30,3,7,2,,False
30,4,6,5,,False
30,5,3,11,,True
30,6,2,13,,False
31,0,3,11,,False
31,1,1,16,,False
31,2,5,7,,False
31,3,7,2,,False
31,4,6,5,,False
31,5,4,9,,False
31,6,2,13,,True
32,0,2,13,,False
32,1,4,9,,False
32,2,1,16,,False
32,3,7,2,,False
32,4,6,5,,False
32,5,5,7,,False
32,6,3,11,,True
33,0,2,13,,False
33,1,1,16,,False
33,2,3,11,,False
33,3,4,9,,False
33,4,5,7,,False
33,5,6,5,,False
33,6,7,2,,True
34,0,1,16,,False
34,1,3,11,,False
34,2,7,2,,False
34,3,5,7,,False
34,4,6,5,,False
34,5,2,13,,False
34,6,4,9,,True
35,0,5,7,,False
35,1,1,16,,False
35,2,7,2,,False
35,3,6,5,,False
35,4,3,11,,False
35,5,2,13,,False
35,6,4,9,,True
36,0,1,16,,False
36,1,2,13,,False
36,2,6,5,,False
36,3,5,7,,False
36,4,4,9,,False
36,5,7,2,,False
36,6,3,11,,True
