student_id,complete_truthtell,partial_truthtell,dsb,ssb,spb,DsbSSb,DsbSPb,SsbSPb,DsbSSbSPb,DsbOnly,SsbOnly,SpbOnly,r1,r2,r3,r4,r5,r6,r7,t1,t2,t3,t4,t5,t6,t7,p0,p1,p2,p3,p4,p5,p6,district_school
1,False,False,False,True,False,False,False,False,False,False,True,False,1,2,4,5,0,6,3,1,0,5,2,6,4,3,13,16,9,2,5,11,7,0
2,False,True,False,False,False,False,False,False,False,False,False,False,0,1,2,6,5,3,4,0,1,2,6,3,5,4,16,13,11,7,2,5,9,0
3,False,False,True,True,True,False,False,False,True,False,False,False,0,3,1,5,2,6,4,3,1,0,5,2,6,4,11,13,7,16,2,9,5,0
4,False,False,False,True,True,False,False,True,False,False,False,False,2,0,1,3,6,5,4,0,1,2,6,5,3,4,16,13,11,5,2,7,9,1
5,False,False,False,True,True,False,False,True,False,False,False,False,4,0,1,6,5,3,2,1,4,0,6,5,3,2,11,16,2,5,13,7,9,1
6,False,False,True,True,True,False,False,False,True,False,False,False,1,4,0,3,2,6,5,0,1,4,3,2,6,5,16,13,7,9,11,2,5,1
7,True,True,False,False,False,False,False,False,False,False,False,False,1,0,4,2,5,3,6,1,0,4,2,5,3,6,13,16,9,5,11,7,2,2
8,False,False,True,True,True,False,False,False,True,False,False,False,4,2,0,1,5,6,3,0,4,2,1,5,6,3,16,9,11,2,13,7,5,2
9,False,False,False,True,True,False,False,True,False,False,False,False,1,0,4,5,3,6,2,0,1,6,4,5,3,2,16,13,2,5,9,7,11,2
10,False,True,False,True,False,False,False,False,False,False,False,False,0,6,5,2,3,1,4,0,6,5,2,1,3,4,16,7,9,5,2,11,13,2
11,False,False,True,False,False,False,False,False,False,True,False,False,1,2,6,3,0,4,5,1,6,2,3,0,4,5,7,16,11,9,5,2,13,2
12,False,False,True,False,False,False,False,False,False,True,False,False,1,0,2,3,4,5,6,1,0,3,2,5,6,4,13,16,9,11,2,7,5,2
13,False,False,True,True,True,False,False,False,True,False,False,False,3,1,4,0,6,5,2,1,3,4,0,6,5,2,9,16,2,13,11,5,7,3
14,False,False,True,True,True,False,False,False,True,False,False,False,5,0,3,6,4,1,2,0,5,6,3,4,1,2,16,5,2,9,7,13,11,3
15,True,True,False,False,False,False,False,False,False,False,False,False,1,0,3,2,5,6,4,1,0,3,2,5,6,4,13,16,9,11,2,7,5,3
16,True,True,False,False,False,False,False,False,False,False,False,False,0,1,2,4,5,3,6,0,1,2,4,5,3,6,16,13,11,5,9,7,2,3
17,True,True,False,False,False,False,False,False,False,False,False,False,1,0,6,5,3,2,4,1,0,6,5,3,2,4,13,16,5,7,2,9,11,3
18,True,True,False,False,False,False,False,False,False,False,False,False,0,1,5,3,4,2,6,0,1,5,3,4,2,6,16,13,5,9,7,11,2,3
19,True,True,False,False,False,False,False,False,False,False,False,False,1,4,0,5,2,3,6,1,4,0,5,2,3,6,11,16,7,5,13,9,2,4
20,False,False,False,True,True,False,False,True,False,False,False,False,3,0,1,6,2,4,5,0,1,6,3,2,4,5,16,13,7,9,5,2,11,4
21,False,False,False,True,True,False,False,True,False,False,False,False,0,5,1,4,3,6,2,1,0,5,4,3,6,2,13,16,2,7,9,11,5,4
22,False,False,False,False,False,False,False,False,False,False,False,False,0,6,1,2,5,3,4,0,6,1,4,2,5,3,16,11,7,2,9,5,13,4
23,False,False,False,True,False,False,False,False,False,False,True,False,0,5,1,6,2,4,3,0,1,5,6,2,4,3,16,13,7,2,5,11,9,4
24,True,True,False,False,False,False,False,False,False,False,False,False,0,1,2,4,6,3,5,0,1,2,4,6,3,5,16,13,11,5,9,2,7,4
25,True,True,False,False,False,False,False,False,False,False,False,False,1,0,4,5,6,3,2,1,0,4,5,6,3,2,13,16,2,5,11,9,7,5
26,False,False,False,True,True,False,False,True,False,False,False,False,6,0,1,3,4,2,5,0,1,6,3,4,2,5,16,13,5,9,7,2,11,5
34,False,False,True,True,True,False,False,False,True,False,False,False,5,0,6,1,3,4,2,0,5,1,6,3,4,2,16,11,2,7,5,13,9,6
36,False,False,True,True,True,False,False,False,True,False,False,False,6,0,1,4,3,2,5,0,1,6,4,3,2,5,16,13,5,7,9,2,11,6
